"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:47BBI51FKFwOMlIiX6m8ya","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","2","213306","https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:00Z"
"spotify:track:6naxalmIoLFWR0siv8dnQQ","Oops!...I Did It Again","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:5PmgtkodFl2Om3hMXONDll","Oops!... I Did It Again","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2000-05-16","https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6","1","1","211160","https://p.scdn.co/mp3-preview/7fb86827422540ad01f65870375fef055412f034?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:09Z"
"spotify:track:3xrn9i8zhNZsTtcoWgQEAd","Since U Been Gone","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:5gDAEao3VxFdbm8vS0koQq","Breakaway","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2004-01-17","https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c","1","2","188960","https://p.scdn.co/mp3-preview/6e39adc77aba227544f11251414bd89824e0eb96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:16Z"
"spotify:track:4rTeOSYqwXNz5qPR2DUTFZ","Everybody (Backstreet's Back) - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1SFKmqhTTEkE3PmSBEMpa3","This Is The End: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-06-10","https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8","1","10","224960","https://p.scdn.co/mp3-preview/331ae7f182384985b601fc75ae7f0e7a0c821de5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:25Z"
"spotify:track:6otiaV2fagE3s8IvP6WkwG","I'm Just a Kid","spotify:artist:2p4FqHnazRucYQHyDCdBrJ","Simple Plan","spotify:album:3W6TEVlmaP22E4KvWY9HrS","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)","spotify:artist:2p4FqHnazRucYQHyDCdBrJ","Simple Plan","2018-04-06","https://i.scdn.co/image/ab67616d0000b273a221e98b84122f233ebe2e81","1","4","198333","https://p.scdn.co/mp3-preview/bbe56bd222c21d99f0bc4a4aaee398cc7fdc2791?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:30Z"
"spotify:track:2z4U9d5OAA4YLNXoCgioxo","What the Hell","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:1COPJyU2PpM2Itcob3vhFF","Goodbye Lullaby (Expanded Edition)","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2011-03-08","https://i.scdn.co/image/ab67616d0000b27372c9f7a7c75eba39726106a6","1","2","220706","https://p.scdn.co/mp3-preview/1dfc9fa0785c5ee0a9df654d7d52ac72f76b33e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:35Z"
"spotify:track:1eOHw1k2AoluG4VyjBHLzX","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:6lKJ28PcwG7lPfBZss1RZG","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","2006-02-21","https://i.scdn.co/image/ab67616d0000b273093c0143d65442cc4d8affd6","1","1","196466","","false","42","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:13:42Z"
"spotify:track:7LP4Es66zdY7CyjepqmvAg","Down","spotify:artist:4pADjHPWyrlAF0FA7joK2H, spotify:artist:55Aa2cqylxrFIXC767Z865","Jay Sean, Lil Wayne","spotify:album:3v0AeWgJPrdPPZGt1tS2s0","All Or Nothing","spotify:artist:4pADjHPWyrlAF0FA7joK2H","Jay Sean","2009-01-01","https://i.scdn.co/image/ab67616d0000b2739004d9d1b817af63d113e937","1","3","212106","","false","81","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:14:15Z"
"spotify:track:6s8nHXTJVqFjXE4yVZPDHR","Troublemaker (feat. Flo Rida)","spotify:artist:3whuHq0yGx60atvA2RCVRW, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Olly Murs, Flo Rida","spotify:album:5kU9rWhYr4MmPmaGYP5z4v","Right Place Right Time (Expanded Edition)","spotify:artist:3whuHq0yGx60atvA2RCVRW","Olly Murs","2012-11-26","https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0","1","2","185586","https://p.scdn.co/mp3-preview/b68cee8039ecbc805d1c3b8f364908e707672711?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:14:27Z"
"spotify:track:45hOioMDJktr86iKDHC8gr","Girlfriend","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:6lqE05fiHWJVYYdMVJNj38","The Best Damn Thing (Expanded Edition)","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2007-04-17","https://i.scdn.co/image/ab67616d0000b273476cdf5837ae39eee951cc15","1","1","216600","https://p.scdn.co/mp3-preview/180193873467a5b2e3b83c7be6f56694fb48d80c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:ic6qyounfpmhua7598k5d3wl6","2020-12-09T17:14:32Z"
