"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2BEL2ySEBDO02FLo3lOIZT","You Got It (The Right Stuff)","spotify:artist:55qiaow2sDYtjqu1mwRua6","New Kids On The Block","spotify:album:5kIqSIJhdFkCb9gsCUi0qS","Greatest Hits","spotify:artist:55qiaow2sDYtjqu1mwRua6","New Kids On The Block","1999","https://i.scdn.co/image/ab67616d0000b2737c27b03740c2753ad289e23b","1","2","250746","https://p.scdn.co/mp3-preview/7e54019caa090b42151fb2c5fed2e82b90b8a017?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:7qD9lD0dabABT6y3Vw3uVX","We've Got It Goin' On - Radio Edit","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1oWxRkI4V9d3hH3PqWpx9H","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996-05-06","https://i.scdn.co/image/ab67616d0000b2733d16809ca253f0f476195941","1","1","219466","https://p.scdn.co/mp3-preview/04e51a313c9fe65b54af22abeeb5143b63c9b981?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:5RWVIPhDjeUKGRqXF65v1N","Everything Changes","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","spotify:album:0Roig21lheelthCcmLyjYO","Take That Greatest Hits","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","1996-03-25","https://i.scdn.co/image/ab67616d0000b2736ad5598c1ab2352c04244a36","1","6","213400","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:1kPBHRXyXdrtYfUfeRwBko","I Wanna Sex You Up - Single Mix","spotify:artist:1QtIfAa6y7w2JhxYJhYeUG","Color Me Badd","spotify:album:17mrdLXkhmlY36jRm9cUbw","C.M.B.","spotify:artist:1QtIfAa6y7w2JhxYJhYeUG","Color Me Badd","1991-07-23","https://i.scdn.co/image/ab67616d0000b273ced0c7756302458ab6daa6d5","1","1","236946","https://p.scdn.co/mp3-preview/621ad25d996d7f4142eac6a00f07a882982d9b75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:31x8mYFOwQJtzE4y5di0Tl","Where's The Love","spotify:artist:0SdiiPkr02EUdekHZJkt58","Hanson","spotify:album:0IaT8AWtzOSAzWB1KXoTD8","MmmBop : The Collection","spotify:artist:0SdiiPkr02EUdekHZJkt58","Hanson","2005-01-01","https://i.scdn.co/image/ab67616d0000b273aeb97994467b5a33f2b3fa12","1","2","252346","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:4iiRroCTxMy47PUOtSsvQf","No Matter What","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","spotify:album:1cdcGR4ez7usluC9Z6UTgR","...By Request","spotify:artist:6X9aYHnQ75YI8o08aoa0iS","Boyzone","1999-05-31","https://i.scdn.co/image/ab67616d0000b2739dc8cdc2339d002d5e5c21d2","1","2","275200","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6jkGDxsBI0Et6D66FqaI0X","Be Alone No More (feat. Jay-Z)","spotify:artist:3kcqSqWEss8JZtHBE5IJzZ, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Another Level, JAY-Z","spotify:album:1mV4FRW3jAmb0ghEp6Ibjk","Another Level","spotify:artist:3kcqSqWEss8JZtHBE5IJzZ","Another Level","1998-11-09","https://i.scdn.co/image/ab67616d0000b2731241de44a55df43894898959","1","11","238906","https://p.scdn.co/mp3-preview/b72b0b5b2681db1f1c25ec380d702d0d8bbcaa37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:0QIgxEydF4mfYc9qraBzqT","Stay Another Day","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","spotify:album:374fbyA2Mcu33vrz0TP7Dw","Steam","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","1994-10-17","https://i.scdn.co/image/ab67616d0000b27322d583fada37a5db93b90d04","1","5","267480","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:5K1hUYQsNQJcKgM6QQW8B7","Slam Dunk (Da Funk)","spotify:artist:6rEzedK7cKWjeQWdAYvWVG","Five","spotify:album:3x5IW1MzKe5OS9vw7gprFX","Five","spotify:artist:6rEzedK7cKWjeQWdAYvWVG","Five","1998-07-14","https://i.scdn.co/image/ab67616d0000b2738a0a862213e9771c8058b0af","1","5","215826","https://p.scdn.co/mp3-preview/ecbcbfbd4727b83e8fde982941ed82dba578828b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:7uYroF9RRrhRJBrigRvB6H","Summer Girls","spotify:artist:1FizW0swe8ODtXvEOHXbHX","LFO","spotify:album:6DZdRerOCdaQyBLwntH2cX","LFO","spotify:artist:1FizW0swe8ODtXvEOHXbHX","LFO","1999-08-10","https://i.scdn.co/image/ab67616d0000b273525b46fcbb89167ea9084dec","1","1","257333","https://p.scdn.co/mp3-preview/0986ff170e2a1bbd8f85d4fa8fddc46c3d5286d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:2pM15qcmuGUPslSRsvvm7v","I’ll Make Love To You","spotify:artist:6O74knDqdv3XaWtkII7Xjp","Boyz II Men","spotify:album:3LYpJyN7wfDy7fTaYWwL2e","Twenty","spotify:artist:6O74knDqdv3XaWtkII7Xjp","Boyz II Men","2011-10-25","https://i.scdn.co/image/ab67616d0000b273d7d15eaed0a3f9192dc8869f","2","7","237306","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:3BBRIwXeaZ22JBfM7727M7","Thunder","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","spotify:album:6LdEXqWWoojNaA9MzXldXW","Up All Night","spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY","East 17","1995-11-13","https://i.scdn.co/image/ab67616d0000b27352fcf89f89621a07e8d3bcad","1","2","294040","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6ZIuoDs3i1KjKurJf9miSs","I Will Come To You","spotify:artist:0SdiiPkr02EUdekHZJkt58","Hanson","spotify:album:3StpQT9Qd87FSeWeQAdg1h","Middle Of Nowhere","spotify:artist:0SdiiPkr02EUdekHZJkt58","Hanson","1997-01-01","https://i.scdn.co/image/ab67616d0000b273184227f002623fc19f44551a","1","9","251293","","false","54","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:2hkRVX1Ea7tRespEHB5ytl","I've Got a Little Something for You","spotify:artist:2AFkXuExrw9XcAtzFARn8e","MN8","spotify:album:6odcotWv2xd7NP7RrGBS5b","90s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-11-28","https://i.scdn.co/image/ab67616d0000b273b212e660aec81b60a425d4f1","1","36","220213","https://p.scdn.co/mp3-preview/21bf14a62db77308b214194410a0d2f2bc866020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6B7qPz0gQ2FlwUvTUPTZ27","Show Me the Meaning of Being Lonely","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5VHIlOEndogNL2zRjhKSBa","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-21","https://i.scdn.co/image/ab67616d0000b2730a77b78669d5d5d2f67f8873","1","3","234960","","false","0","spotify:user:","2020-10-09T16:53:13Z"
"spotify:track:6Ln76fIfkdmL6UHbuYR756","Pray","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","spotify:album:0Roig21lheelthCcmLyjYO","Take That Greatest Hits","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","1996-03-25","https://i.scdn.co/image/ab67616d0000b2736ad5598c1ab2352c04244a36","1","9","223893","","false","0","spotify:user:","2020-10-09T16:53:13Z"
