"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4EAbAlO8QWzIpONNkUkOvC","I'll Never Stop","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:5hMd4vAfSUT1cbYCnRUako","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273fceb9d92981970dbeea23257","1","14","206440","https://p.scdn.co/mp3-preview/0d939e13e42e880ef5bd52cebb05023884d8a432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6vkkluJq72ahHSZNe3ZAiL","Reach - Radio Edit","spotify:artist:1kM5rgJvkiDMOoKX56H6pX","S Club 7","spotify:album:7nCFDT4RoGQcXoPFTDrpGH","7","spotify:artist:1kM5rgJvkiDMOoKX56H6pX","S Club 7","2000-06-12","https://i.scdn.co/image/ab67616d0000b273eae5828fbc0d1906b4321d20","1","1","243266","","false","43","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2W5acFzXf5FrktecuD30Or","One Love","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","spotify:album:7hleBoZbfZyL2umi4JzxCL","One Love","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","2002","https://i.scdn.co/image/ab67616d0000b273ac34ff28b46e1cd7b26a28f7","1","1","207186","","false","61","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jypmXUJgxWKWJZdDsJiXQ","Why Not","spotify:artist:2S9W9aSAd7e5mp8WqWxN2h","Hilary Duff","spotify:album:2zfZe8P8jg53kZaAfCdBYs","Metamorphosis","spotify:artist:2S9W9aSAd7e5mp8WqWxN2h","Hilary Duff","2003-01-01","https://i.scdn.co/image/ab67616d0000b27345fa3fddca835d0d7c854146","1","13","179533","","false","55","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3tH03v5SIWaglfE3rzXzeB","Everybody (Backstreet's Back) - Extended Version","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1NslKOZobWxINFaFkLol3r","The Hits--Chapter One","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","2001-10-23","https://i.scdn.co/image/ab67616d0000b273c2f0d820b1113f9a243fb973","1","2","286306","https://p.scdn.co/mp3-preview/a20044823e99f956db51e6ebd5a0ff449b267a1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:78WtQgnzUKImvnUFhvIUcQ","Selfish","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:7zBue2Vuzg4Z3ncRXaIkJg","Celebrity","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2001-07-24","https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d","1","10","260373","https://p.scdn.co/mp3-preview/4c93bf26d220a0245f966d54b901f4c6108e8edb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0kr6d8wHDQPlzuET33NVn6","All You Wanted","spotify:artist:5rScKX1Sh1U67meeUyTGwk","Michelle Branch","spotify:album:1agL7TUoZXr0Xd4Irievqi","The Spirit Room","spotify:artist:5rScKX1Sh1U67meeUyTGwk","Michelle Branch","2001-07-31","https://i.scdn.co/image/ab67616d0000b27311e62b6d4e56b060aa71e09d","1","3","217680","https://p.scdn.co/mp3-preview/ed582b5d865ed947c240a4220f1ade3371f3dd2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6nIcGJK6Pj1ThzC6r8O8hA","Leave (Get Out) - 2018","spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6","JoJo","spotify:album:1kBeLaqLbXDFFnkYWH1ayn","JoJo (2018)","spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6","JoJo","2018-12-21","https://i.scdn.co/image/ab67616d0000b273928fc80e8ddb75f21c2ca4a2","1","7","239560","https://p.scdn.co/mp3-preview/bbc58790505b7fb418b95cd8a903ce534e1623f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4WUnM4KNZ0kjp0CUeoyOnS","I Swear","spotify:artist:1B8ySGDAiXTCvnJNH4HSCG","All-4-One","spotify:album:4L5ZA0GukWNWjsk9b7HHDy","All-4-One","spotify:artist:1B8ySGDAiXTCvnJNH4HSCG","All-4-One","1994-01-01","https://i.scdn.co/image/ab67616d0000b2730a23b37b281f5dad95dda57d","1","4","259853","https://p.scdn.co/mp3-preview/4bbcac2464fbcb629b62186a9884e9caa402735f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1yTQ39my3MoNROlFw3RDNy","Say You'll Be There","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","spotify:album:3x2jF7blR6bFHtk4MccsyJ","Spice","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","1996-01-01","https://i.scdn.co/image/ab67616d0000b273fb59d692d3d66bcd3768a237","1","2","235973","","false","67","spotify:user:","1970-01-01T00:00:00Z"
